s2	s2	s2	s2	s2	s2	s2	s2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:22 pm	0.263	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.264	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.265	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.266	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.267	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.268	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.269	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.270	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.271	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.272	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.273	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.274	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.275	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.276	0.000	0.000	0.000	0.0000	0.000	0.000
10/18/2019 05:47:22 pm	0.277	0.000	0.000	0.000	0.0000	0.000	0.000
